loan_id,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,approved,log_residential_assets_value,log_loan_amount,dep_cat
1,2, Graduate, No,9600000,29900000,12,778,2400000,17600000,22700000,8000000,1,14.690979711984754,17.21336907180573,2_to_3_dep
2,0, Not Graduate, Yes,4100000,12200000,8,417,2700000,2200000,8800000,3300000,0,14.80876270134486,16.316946591670696,no_dep
3,3, Graduate, No,9100000,29700000,20,506,7100000,4500000,33300000,12800000,0,15.775605482856605,17.206657637442962,2_to_3_dep
4,3, Graduate, No,8200000,30700000,8,467,18200000,3300000,23300000,7900000,0,16.716932206992077,17.239773245130714,2_to_3_dep
5,5, Not Graduate, Yes,9800000,24200000,20,382,12400000,8200000,29400000,5000000,0,16.333207111220425,17.001863232449228,more_than_3_dep
6,0, Graduate, Yes,4800000,13500000,10,319,6800000,8300000,13700000,5100000,0,15.732433317205148,16.41820031748273,no_dep
7,5, Graduate, No,8700000,33000000,4,678,22500000,14800000,29200000,4300000,1,16.929025911619092,17.312018149733785,more_than_3_dep
8,2, Graduate, Yes,5700000,15000000,20,382,13200000,5700000,11800000,6000000,0,16.395727463314174,16.52356082573315,2_to_3_dep
9,0, Graduate, Yes,800000,2200000,20,782,1300000,800000,2800000,600000,1,14.077875591662238,14.603968372873895,no_dep
10,5, Not Graduate, No,1100000,4300000,10,388,3200000,1400000,3300000,1600000,0,14.978661680269907,15.274125813221904,more_than_3_dep
11,4, Graduate, Yes,2900000,11200000,2,547,8100000,4700000,9500000,3100000,1,15.90737474309945,16.231424425551033,more_than_3_dep
12,2, Not Graduate, Yes,6700000,22700000,18,538,15300000,5800000,20400000,6400000,0,16.54336345172214,16.937875526504495,2_to_3_dep
13,3, Not Graduate, Yes,5000000,11600000,16,311,6400000,9600000,14600000,4300000,0,15.671808704579888,16.266515742283485,2_to_3_dep
14,2, Graduate, Yes,9100000,31500000,14,679,10800000,16600000,20900000,5000000,1,16.195056784687036,17.265498135541893,2_to_3_dep
15,1, Not Graduate, No,1900000,7400000,6,469,1900000,1200000,5900000,1900000,0,14.45736497045232,15.816990693309524,1_dep
16,5, Not Graduate, No,4700000,10700000,10,794,5700000,3900000,16400000,4400000,1,15.555976908243359,16.185754392890075,more_than_3_dep
17,2, Graduate, Yes,500000,1600000,4,663,1300000,100000,1300000,700000,1,14.077875591662238,14.285514812209815,2_to_3_dep
18,4, Not Graduate, Yes,2900000,9400000,14,780,2900000,2800000,6700000,4300000,1,14.88022163978423,16.056220353623207,more_than_3_dep
19,2, Graduate, No,2700000,10300000,10,736,1000000,0,6200000,3300000,1,13.815511557963774,16.14765455028724,2_to_3_dep
20,5, Graduate, No,6300000,14600000,12,652,10300000,3500000,23500000,5900000,1,16.14765455028724,16.496532155171714,more_than_3_dep
21,2, Graduate, No,5000000,19400000,12,315,9500000,1600000,18000000,6100000,0,16.066802461833923,16.780783675579947,2_to_3_dep
22,4, Graduate, No,5800000,14000000,16,530,3800000,11300000,22200000,5400000,0,15.150511887854474,16.454567959008102,more_than_3_dep
23,4, Graduate, Yes,6500000,25700000,18,311,13100000,1700000,19500000,8500000,0,16.388122864507256,17.062001588775953,more_than_3_dep
24,0, Not Graduate, Yes,500000,1400000,2,551,900000,600000,1100000,300000,1,13.710151153416941,14.151983508870947,no_dep
25,0, Not Graduate, No,4900000,9800000,16,324,3800000,8700000,10000000,3300000,0,15.150511887854474,16.097893045681612,no_dep
26,5, Not Graduate, No,3100000,9500000,20,514,7900000,3100000,6600000,2600000,0,15.882373444019521,16.066802461833923,more_than_3_dep
27,4, Graduate, No,8200000,28100000,12,696,11500000,10600000,25300000,7200000,1,16.257857680289998,17.151280169891162,more_than_3_dep
28,4, Not Graduate, Yes,2400000,5600000,4,662,4500000,4200000,5400000,2500000,1,15.319588176962746,15.53827733427679,more_than_3_dep
29,5, Not Graduate, Yes,7000000,24000000,6,336,2300000,11900000,27500000,9700000,0,14.648420115681892,16.993564429978885,more_than_3_dep
